quadkey,latitude,longitude,rwi,error
13221322103000,12.3721972,107.7648926,-0.001,0.417
13223013102113,9.5899171,106.3366699,0.041,0.404
13221011022101,21.4428427,105.5895996,0.011,0.396
13221323022220,11.8996033,108.2922363,0.025,0.392
13221010110010,21.9328544,105.1721191,0.236,0.403
13203232332130,22.0550957,105.2600098,0.038,0.379
13223013102202,9.5032437,106.1828613,-0.020,0.395
13221303010220,15.1463690,108.6437988,0.883,0.405
13203232030233,22.7660511,104.4909668,-0.609,0.296
13223011232111,9.9580298,105.9851074,0.125,0.431
13221322111221,12.4151184,108.1384277,-0.312,0.397
13221011002022,21.7084727,105.4797363,-0.153,0.454
13221011113010,21.7697025,106.7541504,-0.140,0.376
13203233312211,22.3399141,106.6003418,-0.816,0.433
13223011213100,10.3041101,106.0949707,-0.043,0.416
13221302310302,14.4878712,108.0285645,-0.412,0.406
13221013101131,20.5813670,106.5124512,0.546,0.361
13221030312120,18.4275017,105.2160645,0.501,0.415
13221321222220,12.5867322,108.2922363,-0.855,0.403
13221233333033,11.2753865,106.7761230,0.687,0.401
13221011330303,20.8485448,106.6442871,1.395,0.454
13221031221002,18.2815179,105.6555176,-0.372,0.396
13221302113331,14.9766264,108.2702637,-0.205,0.381
13223012133011,9.2647792,105.3698730,0.566,0.410
13223100112211,10.9088300,108.0065918,0.091,0.470
13221233302033,11.6199546,106.2487793,-0.474,0.398
13221011121100,21.6063650,106.4465332,-0.603,0.420
13221011223110,20.7869302,105.7873535,0.304,0.433
13221011330001,20.9511796,106.5563965,0.819,0.426
13223012311021,9.0478525,105.3259277,0.594,0.437
13221321300332,13.0794780,109.1271973,-0.079,0.417
13221031203201,18.3858046,105.6774902,-0.878,0.439
13221303010123,15.2099875,108.7536621,0.516,0.406
13223100013211,10.9088300,107.4792480,-0.111,0.427
13221013100210,20.5402210,106.2268066,0.114,0.416
13221031220101,18.3023803,105.5895996,-0.353,0.371
13203233030112,22.8875618,105.9631348,-0.441,0.306
13221011200131,21.2381821,105.6335449,0.918,0.427
13221012111332,20.4784813,105.4357910,0.353,0.407
13221322021322,12.0500648,107.1496582,-0.249,0.395
13221303003112,15.0827314,108.5998535,0.399,0.411
13223011132333,10.4986143,106.6882324,0.820,0.428
13221011332120,20.7458399,106.6223145,0.333,0.367
13221322322333,11.1891794,107.7429199,-0.537,0.389
13221011312003,21.0947502,106.5563965,1.206,0.426
13221010200203,21.1767283,104.0954590,-0.135,0.411
13221303010210,15.1887835,108.6877441,0.155,0.410
13221010322212,20.6841834,104.8205566,-0.529,0.339
13221013032322,19.9836736,105.9191895,0.457,0.408
13223013031133,9.3731925,106.1608887,0.283,0.424
13223011120231,10.6929962,106.2487793,0.386,0.394
13221031020322,18.8231166,105.5676270,0.245,0.406
13223010330232,9.9796707,105.1721191,0.238,0.407
13221012111000,20.6225019,105.3039551,-0.330,0.411
13221010130313,21.5041851,105.2819824,0.217,0.416
13221321322303,12.6081759,109.1052246,-0.388,0.386
13221322310302,11.7490585,108.0285645,-0.179,0.385
13221300011132,16.5624922,107.5451660,0.278,0.428
13221010102232,21.6267923,104.8205566,-0.746,0.519
13221011321221,20.8280094,106.3806152,0.540,0.421
13221013101222,20.4784813,106.3586426,0.360,0.424
13221030130201,18.8854977,105.1501465,-0.321,0.407
13221011223210,20.7047384,105.6994629,0.346,0.414
13223011033310,10.5634219,106.1389160,0.302,0.414
13221300000303,16.5203656,106.9958496,-0.124,0.399
13221303002313,14.9978516,108.4460449,-0.035,0.393
13221320113320,13.6139558,108.2043457,-0.222,0.379
13223011210321,10.3473437,105.9411621,0.288,0.440
13221011332031,20.7458399,106.6003418,0.646,0.427
13221320112313,13.6353101,108.0944824,-0.248,0.384
13221001213002,21.0947502,103.1945801,0.399,0.440
13221100202000,21.1152490,106.8859863,-0.136,0.440
13221011002202,21.6676382,105.4797363,-0.470,0.405
13221303232033,14.0193555,108.7097168,0.263,0.413
13221100231031,20.9101341,107.4792480,-0.701,0.441
13221031001020,19.2592938,105.6555176,0.212,0.400
13223011211131,10.4337931,106.1608887,0.416,0.423
13223011200223,10.3257277,105.5017090,0.667,0.437
13221321221122,12.8225137,108.5559082,0.094,0.391
13203223222110,22.0958194,102.7990723,-0.302,0.334
13221303010200,15.1887835,108.6437988,0.151,0.419
13221100221100,20.9511796,107.1496582,0.669,0.456
13223100020111,10.8225151,107.0397949,0.046,0.377
13221010321002,20.9306583,104.9523926,-0.585,0.362
13223011022210,10.5634219,105.5236816,0.329,0.411
13221321200010,13.2292507,108.3361816,-0.256,0.405
13223012132031,9.2214045,105.1940918,0.015,0.403
13221320312333,12.9081979,108.0944824,0.232,0.395
13221100023231,21.3200806,107.1276855,-0.117,0.393
13221322303033,11.6199546,107.8308105,0.849,0.419
13223011022002,10.6282159,105.4797363,0.173,0.422
13221300011310,16.5414301,107.5451660,1.162,0.431
13203232102300,22.9887378,104.8645020,-0.435,0.444
13221303213211,14.3389038,108.8854980,0.161,0.415
13203223303232,22.2789302,103.5900879,0.183,0.405
13221010221000,20.9511796,104.2492676,-0.622,0.353
13223011011113,11.1460662,106.1608887,-0.341,0.411
13221302321322,14.1046123,107.8527832,0.111,0.405
13221323013133,12.3078021,108.9733887,-0.344,0.415
13221322202310,11.5984314,107.0178223,-0.026,0.360
13221013002202,20.3549272,105.4797363,-0.382,0.366
13223013011330,9.6549077,106.1389160,0.104,0.413
13223013022021,9.2214045,105.5017090,0.067,0.416
13221010320101,20.9511796,104.8864746,-0.534,0.374
13223010130310,10.7361753,105.2600098,0.496,0.402
13221031020102,18.9478555,105.5676270,0.529,0.422
13223012310211,9.0044514,105.1940918,0.677,0.448
13221011102323,21.6267923,106.2927246,-0.141,0.388
13223010132031,10.6066195,105.1940918,0.245,0.419
13223012122210,9.1780244,104.8205566,0.264,0.430
13221012031101,20.2931131,104.7106934,-0.107,0.375
13221323232212,11.2322862,108.6877441,-0.070,0.425
13221300103311,16.3728503,107.9187012,-0.187,0.414
13223100022213,10.5418209,106.9519043,-0.163,0.387
13221321323310,12.6296178,109.3029785,-0.063,0.392
13221011332112,20.7663865,106.6662598,0.782,0.424
13221302233330,13.9553920,107.5451660,0.040,0.399
13221322313220,11.5553801,108.1164551,-0.427,0.389
13221033132211,17.3820946,106.6003418,-0.567,0.401
13221320112230,13.6139558,107.9846191,-0.055,0.397
